Organization,Contact Name,Title,Email,Phone,Priority,Notes
Pohang City Tourism Division,,Head of Tourism,, ,High,Local government partner for promotion and venue liaison
Pohang Tourism Organization,,Director,, ,High,Destination marketing and local channels
POSCO,,CSR Manager,, ,High,Major local industry sponsor (in-kind: venue/support)
POSTECH (Pohang University of Science and Technology),,Public Relations,, ,High,University partner — student outreach
Handong Global University,,Student Affairs,, ,Medium,University partner — student outreach
Local Chamber of Commerce,,Director,, ,Medium,Business outreach and networks
Pohang Hotel Consortium,,Marketing Lead,, ,Medium,Accommodation partner (discounts for participants)
Pohang Cultural Foundation,,Program Manager,, ,Medium,Cultural outreach and promotional support
Local Travel Agencies,,Partnership Manager,, ,Low,Package promotion for visitors
Regional Bank (eg. local branch),,Community Relations,, ,Low,Sponsorship/financial support
Local Media (newspapers/radio/online),,Editor/Producer,, ,High,Press coverage and event publicity
Korea Tourism Organization (regional office),,Officer,, ,Medium,Regional promotion
Local Startups/Creative Agencies,,Business Dev,, ,Medium,Prizes/mentoring/partnerships
Community Centers & Senior Centers,,Coordinator,, ,Low,Local outreach for citizen jury
Local High Schools (media/arts departments),,Teacher,, ,Low,Student participation outreach
