Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Kickoff & Program Draft Finalization,2026-08-06,10:00,2026-08-06,12:00,False,Program kickoff meeting — finalize program draft and roles,Online/Office
Marketing Save-the-Date Assets Ready,2026-08-20,10:00,2026-08-20,12:00,False,Design and marketing deliverables: poster, QR, SNS templates,Online/Design Lab
Google Form creation & test (Apps Script),2026-09-01,10:00,2026-09-01,11:30,False,Create and test registration/strategy submission form via Apps Script,Online
Partner confirmation & Form Live,2026-09-05,10:00,2026-09-05,12:00,False,Confirm partners/MOU and publish live registration & submission forms,Online/Partners Office
AV vendor selection & contracting,2026-09-19,10:00,2026-09-19,12:00,False,Finalize AV vendor, contract and inventory,Venue/Operations
Program finalization & presenter submission deadline,2026-10-05,10:00,2026-10-05,12:00,False,Finalize program and collect presenter slides/materials,Online
AV check & final rehearsal scheduling,2026-10-20,09:00,2026-10-20,17:00,False,Final AV checklist and rehearsal schedule confirmation,Venue
Full dress rehearsal (D-7),2026-10-27,10:00,2026-10-27,15:00,False,Full run-through with AV, presenters, and staff,Venue
Event day — Pohang MICE Academy,2026-11-03,16:00,2026-11-03,22:00,False,Event setup, execution, recording, and wrap-up,Parangtteul 2F
Post-event deliverables & accounting due,2026-11-17,10:00,2026-11-17,12:00,False,Submit final deliverables: videos, reports, accounting,Online/Office
PM weekly sync (Wed),2026-08-11,10:00,2026-08-11,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-08-18,10:00,2026-08-18,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-08-25,10:00,2026-08-25,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-09-01,10:00,2026-09-01,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-09-08,10:00,2026-09-08,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-09-15,10:00,2026-09-15,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-09-22,10:00,2026-09-22,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-09-29,10:00,2026-09-29,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-10-06,10:00,2026-10-06,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-10-13,10:00,2026-10-13,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-10-20,10:00,2026-10-20,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-10-27,10:00,2026-10-27,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
PM weekly sync (Wed),2026-11-03,10:00,2026-11-03,11:00,False,Weekly PM sync with leads — review status,issues,assignments,Online/Office
