id,question_title,question_type,required,help_text,options,file_upload_max_mb,file_upload_types
1,Project / Idea Name,Short answer,Yes,Title of the idea (concise),,,
2,Team name (or Individual),Short answer,Yes,Team or individual name,,,
3,Lead contact email,Short answer,Yes,Email for notifications,,,
4,Lead contact phone,Short answer,No,Optional mobile number,,,
5,Affiliation (University/Org),Short answer,No,If any,,,
6,One-line mission (<=50 chars),Short answer,Yes,Elevator pitch / mission statement (50 chars),,,
7,Problem statement (200-300 chars),Paragraph,Yes,What problem does this solve and for whom?,,,
8,Proposed solution & experience (200-300 chars),Paragraph,Yes,Describe the visitor experience and main features.,,,
9,Location / deployment area,Short answer,No,Where in Pohang is this idea located or implemented?,,,
10,Estimated budget (KRW),Short answer,No,High-level budget estimate (numbers only),,,
11,Timeline (months),Short answer,No,Estimated time to MVP / pilot (in months),,,
12,Technical needs (AV/power),Paragraph,No,List required equipment or infrastructure.,,,
13,Files: Proposal upload,File upload,Optional,Upload PDF/PPT up to 10MB,10,PDF|PPT|PPTX
14,Public link to proposal (if upload not possible),Short answer,No,Shareable URL to drive/dropbox etc.,,,
15,Consent: promotional use,Multiple choice,Yes,Agree to use photos/videos for promotion,Yes|No,,
16,Do you want mentorship/follow-up?,Multiple choice,No,Interested in post-selection support?,Yes|No|Maybe,,
17,How did you hear about this?,Multiple choice,No,Marketing attribution,University|SNS|Poster|Friend|Other,,
18,Optional notes,Paragraph,No,Anything else to tell the judges?,,,
19,Submission confirmation,Checkboxes,Yes,Originality and acceptance of terms,I confirm this submission is original and accept terms,,
