item,priority,owner,due_date,status
장소확정,필수,기획팀,2026-09-04,pending
예산확정,필수,재무,2026-09-04,pending
AV장비확보,필수,기술팀,2026-10-04,pending
등록폼오픈,필수,운영팀,2026-10-04,done
홍보물배포,필수,마케팅,2026-10-04,pending
발표자료수집,필수,프로그램,2026-10-27,pending
안전계획완료,필수,운영팀,2026-10-20,pending
자원봉사자브리핑,필수,코디네이터,2026-10-27,pending
현장레이아웃확정,필수,운영팀,2026-10-20,pending
심사기준확정,필수,프로그램,2026-10-20,pending
사진·영상동의수집,필수,운영팀,2026-10-04,pending
사후보고서작성,권장,기획팀,2026-11-10,pending
설문조사수집,권장,운영팀,2026-11-10,pending
스폰서확보,권장,기획팀,2026-09-04,ongoing
리허설실시,권장,기술팀,2026-11-02,pending
